Student ID,ENROLLMENT MONTH,ENROLLMENT YEAR,PRE-U,COURSES,TYPE OF SPONSOR ,YTN PBU,NATIONALITY,CGPA,EXCEED,DROPOUT,UNEMPLOYMENT RATE,GDP (B),GDP GROWTH RATE (%),INFLATION RATE,IPTS ENROLLMENT,UNITEN INTAKE
0129308,September,2017,Foundation,Computing,Loan,No,Local,3.68,No,0,3.41,319.11,5.81 ,3.87,91033,910
0130704,September,2016,Foundation,Computing,Sponsored,,Local,2.60,No,0,3.44,301.26,4.45 ,2.09,80009,809
0131100,September,2020,Diploma,Engineering,Sponsored,,Local,3.05,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0132752,January,2018,Foundation,Business,Private,,Local,2.39,No,0,3.30,358.79,4.84 ,0.88,73840,738
0133128,January,2009,Foundation,Computing,Loan,Yes,Local,2.72,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0134244,January,2011,Foundation,Engineering,Loan,Yes,Local,3.15,No,0,3.05,297.95,5.29 ,3.17,54244,544
0135890,January,2006,Foundation,Computing,Loan,Yes,Local,3.22,No,0,3.32,162.69,5.58 ,3.61,43490,439
0136617,January,2014,Diploma,Business,Sponsored,,International,2.11,No,0,2.88,338.07,6.01 ,3.14,50584,515
0137590,January,2018,Diploma,Business,Sponsored,,Local,3.56,No,0,3.30,358.79,4.84 ,0.88,73840,738
0138154,January,2004,Foundation,Business,Loan,No,Local,3.84,No,0,3.54,124.75,6.78 ,1.42,40742,407
0139636,January,2010,Diploma,Business,Sponsored,,Local,2.60,No,0,3.39,255.02,7.42 ,1.62,49593,491
0140293,September,2018,Foundation,Business,Private,,Local,2.54,No,0,3.30,358.79,4.84 ,0.88,73840,738
0141716,September,2010,Diploma,Engineering,Loan,Yes,Local,2.58,No,0,3.39,255.02,7.42 ,1.62,49593,491
0142286,September,2017,Foundation,Engineering,Sponsored,,Local,2.90,No,0,3.41,319.11,5.81 ,3.87,91033,910
0143175,September,2017,Foundation,Business,Private,,International,2.89,No,0,3.41,319.11,5.81 ,3.87,91033,910
0144614,January,2018,Foundation,Computing,Loan,No,Local,3.08,No,0,3.30,358.79,4.84 ,0.88,73840,738
0145973,January,2001,Foundation,Computing,Private,,Local,3.22,No,0,3.53,97.78,0.52 ,1.42,26858,281
0146334,January,2020,Diploma,Engineering,Sponsored,,Local,3.31,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0147945,January,1997,Foundation,Computing,Sponsored,,Local,3.98,No,0,2.45,100.01,7.32 ,2.66,15036,156
0148145,January,2009,Foundation,Computing,Loan,Yes,Local,3.37,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0149963,January,2013,Foundation,Engineering,Loan,Yes,Local,2.62,No,0,3.16,323.28,4.69 ,2.11,38127,481
0150368,January,2011,Foundation,Computing,Loan,Yes,International,3.12,No,0,3.05,297.95,5.29 ,3.17,54244,544
0151997,January,2014,Foundation,Engineering,Private,,Local,3.78,No,0,2.88,338.07,6.01 ,3.14,50584,515
0152923,September,1999,Foundation,Computing,Loan,Yes,Local,1.93,Yes,0,3.43,79.15,6.14 ,2.74,20655,205
0153841,September,1999,Foundation,Business,Sponsored,,Local,2.85,No,0,3.43,79.15,6.14 ,2.74,20655,205
0154335,September,1998,Diploma,Business,Sponsored,,Local,1.25,Yes,1,3.20,72.17,-7.36 ,5.27,18362,186
0155265,September,2021,Foundation,Business,Sponsored,,Local,2.21,No,0,4.05,372.98,5.60 ,2.48,66184,661
0156413,January,2012,Foundation,Computing,Private,,Local,3.45,No,0,3.10,314.44,5.47 ,1.66,45525,455
0157273,January,2010,Foundation,Business,Private,,Local,2.18,No,0,3.39,255.02,7.42 ,1.62,49593,491
0158996,January,2007,Diploma,Computing,Loan,Yes,International,3.82,No,0,3.23,193.55,6.30 ,2.03,43625,456
0159521,January,2011,Diploma,Engineering,Private,,Local,1.71,Yes,1,3.05,297.95,5.29 ,3.17,54244,544
0160175,January,2018,Foundation,Engineering,Loan,Yes,Local,3.21,No,0,3.30,358.79,4.84 ,0.88,73840,738
0161289,January,2000,Foundation,Engineering,Loan,No,Local,3.32,No,0,3.00,93.79,8.86 ,1.53,25951,255
0162880,January,2015,Foundation,Engineering,Sponsored,,Local,3.46,No,0,3.10,301.35,5.09 ,2.1,90558,905
0163606,January,2008,Diploma,Business,Loan,Yes,Local,3.62,No,0,3.32,230.81,4.83 ,5.44,43261,436
0164878,September,1998,Foundation,Computing,Private,,Local,2.42,No,0,3.20,72.17,-7.36 ,5.27,18362,186
0165718,September,2000,Diploma,Engineering,Private,,Local,2.71,No,0,3.00,93.79,8.86 ,1.53,25951,255
0166140,September,2022,Foundation,Computing,Sponsored,,Local,3.41,No,0,3.73,406.31,8.69 ,3.38,63905,695
0167698,September,2012,Diploma,Engineering,Sponsored,,Local,3.37,No,0,3.10,314.44,5.47 ,1.66,45525,455
0168256,January,2002,Diploma,Business,Private,,International,2.14,No,0,3.48,100.85,5.39 ,1.81,28626,282
0169541,January,2000,Foundation,Engineering,Private,,Local,3.25,No,0,3.00,93.79,8.86 ,1.53,25951,255
0170104,January,2009,Foundation,Computing,Loan,Yes,Local,3.95,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0171254,January,1999,Diploma,Business,Loan,Yes,Local,2.22,No,0,3.43,79.15,6.14 ,2.74,20655,205
0172660,January,2020,Diploma,Business,Private,,Local,2.90,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0173569,January,2014,Diploma,Computing,Loan,Yes,Local,2.84,No,0,2.88,338.07,6.01 ,3.14,50584,515
0174514,January,2004,Diploma,Computing,Loan,Yes,International,1.90,Yes,0,3.54,124.75,6.78 ,1.42,40742,407
0175665,January,2015,Foundation,Engineering,Sponsored,,Local,3.54,No,0,3.10,301.35,5.09 ,2.1,90558,905
0176596,September,1997,Foundation,Engineering,Private,,Local,2.95,No,0,2.45,100.01,7.32 ,2.66,15036,156
0177835,September,2006,Foundation,Computing,Private,,Local,1.92,Yes,0,3.32,162.69,5.58 ,3.61,43490,439
0178791,September,2001,Foundation,Computing,Sponsored,,Local,3.70,No,0,3.53,97.78,0.52 ,1.42,26858,281
0179516,September,2010,Foundation,Business,Private,,Local,2.15,No,0,3.39,255.02,7.42 ,1.62,49593,491
0180980,January,2016,Diploma,Engineering,Sponsored,,Local,3.83,No,0,3.44,301.26,4.45 ,2.09,80009,809
0181162,January,2021,Foundation,Engineering,Loan,Yes,Local,3.31,No,0,4.05,372.98,5.60 ,2.48,66184,661
0182571,January,2015,Foundation,Engineering,Private,,Local,2.26,No,0,3.10,301.35,5.09 ,2.1,90558,905
0183803,January,2001,Foundation,Engineering,Loan,Yes,International,1.10,Yes,1,3.53,97.78,0.52 ,1.42,26858,281
0184358,January,2019,Foundation,Business,Private,,Local,2.19,No,0,3.26,365.18,4.41 ,0.66,75854,758
0185593,January,2008,Diploma,Business,Loan,No,Local,3.83,No,0,3.32,230.81,4.83 ,5.44,43261,436
0186137,January,2003,Foundation,Business,Private,,Local,3.29,No,0,3.61,110.2,5.79 ,1.09,36279,367
0187989,January,2006,Foundation,Computing,Sponsored,,Local,2.60,No,0,3.32,162.69,5.58 ,3.61,43490,439
0188509,September,2001,Diploma,Engineering,Sponsored,,Local,1.81,Yes,0,3.53,97.78,0.52 ,1.42,26858,281
0189191,September,2008,Foundation,Computing,Loan,No,Local,1.02,Yes,1,3.32,230.81,4.83 ,5.44,43261,436
0190166,September,1997,Foundation,Computing,Private,,Local,3.78,No,0,2.45,100.01,7.32 ,2.66,15036,156
0191874,September,2004,Foundation,Business,Loan,No,International,2.37,No,0,3.54,124.75,6.78 ,1.42,40742,407
0192229,January,2019,Diploma,Computing,Private,,Local,3.14,No,0,3.26,365.18,4.41 ,0.66,75854,758
0193287,January,2000,Foundation,Business,Private,,International,3.93,No,0,3.00,93.79,8.86 ,1.53,25951,255
0194332,January,2011,Diploma,Engineering,Private,,Local,2.17,No,0,3.05,297.95,5.29 ,3.17,54244,544
0195166,January,2009,Diploma,Business,Private,,Local,3.97,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0196811,January,2016,Diploma,Engineering,Sponsored,,Local,2.83,No,0,3.44,301.26,4.45 ,2.09,80009,809
0197276,January,2010,Diploma,Business,Private,,Local,3.98,No,0,3.39,255.02,7.42 ,1.62,49593,491
0198853,January,2000,Diploma,Business,Sponsored,,Local,2.41,No,0,3.00,93.79,8.86 ,1.53,25951,255
0199208,January,2009,Diploma,Business,Loan,Yes,Local,3.60,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0200435,September,2021,Diploma,Computing,Loan,Yes,International,2.92,No,0,4.05,372.98,5.60 ,2.48,66184,661
0201460,September,2017,Foundation,Computing,Private,,Local,2.99,No,0,3.41,319.11,5.81 ,3.87,91033,910
0202781,September,2019,Diploma,Engineering,Sponsored,,International,3.33,No,0,3.26,365.18,4.41 ,0.66,75854,758
0203538,September,2000,Diploma,Business,Private,,Local,3.10,No,0,3.00,93.79,8.86 ,1.53,25951,255
0204209,January,2006,Diploma,Engineering,Sponsored,,Local,3.57,No,0,3.32,162.69,5.58 ,3.61,43490,439
0205288,January,2003,Foundation,Computing,Private,,Local,2.80,No,0,3.61,110.2,5.79 ,1.09,36279,367
0206594,January,2018,Diploma,Computing,Loan,No,Local,3.59,No,0,3.30,358.79,4.84 ,0.88,73840,738
0207659,January,2021,Diploma,Engineering,Loan,Yes,Local,3.69,No,0,4.05,372.98,5.60 ,2.48,66184,661
0208965,January,1999,Diploma,Computing,Private,,Local,3.74,No,0,3.43,79.15,6.14 ,2.74,20655,205
0209463,January,2019,Foundation,Computing,Loan,No,International,3.38,No,0,3.26,365.18,4.41 ,0.66,75854,758
0210735,January,2000,Foundation,Computing,Private,,Local,2.16,No,0,3.00,93.79,8.86 ,1.53,25951,255
0211849,January,1997,Foundation,Engineering,Private,,Local,1.70,Yes,1,2.45,100.01,7.32 ,2.66,15036,156
0212152,September,2014,Diploma,Business,Private,,Local,3.19,No,0,2.88,338.07,6.01 ,3.14,50584,515
0213418,September,1999,Foundation,Business,Sponsored,,International,1.21,Yes,1,3.43,79.15,6.14 ,2.74,20655,205
0214966,September,1997,Foundation,Business,Sponsored,,Local,2.75,No,0,2.45,100.01,7.32 ,2.66,15036,156
0215890,September,2000,Diploma,Engineering,Loan,No,International,2.10,No,0,3.00,93.79,8.86 ,1.53,25951,255
0216350,January,2020,Foundation,Business,Sponsored,,Local,2.89,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0217570,January,2008,Diploma,Engineering,Loan,Yes,Local,2.44,No,0,3.32,230.81,4.83 ,5.44,43261,436
0218232,January,2012,Foundation,Computing,Sponsored,,Local,2.84,No,0,3.10,314.44,5.47 ,1.66,45525,455
0219368,January,2021,Foundation,Engineering,Private,,Local,3.85,No,0,4.05,372.98,5.60 ,2.48,66184,661
0220614,January,2018,Foundation,Engineering,Loan,Yes,Local,3.21,No,0,3.30,358.79,4.84 ,0.88,73840,738
0221195,January,2021,Foundation,Engineering,Private,,International,2.15,No,0,4.05,372.98,5.60 ,2.48,66184,661
0222613,January,2018,Diploma,Engineering,Private,,Local,3.55,No,0,3.30,358.79,4.84 ,0.88,73840,738
0223955,January,2010,Foundation,Computing,Private,,Local,2.01,No,0,3.39,255.02,7.42 ,1.62,49593,491
0224409,September,2010,Foundation,Engineering,Sponsored,,International,3.98,No,0,3.39,255.02,7.42 ,1.62,49593,491
0225985,September,2007,Foundation,Business,Loan,Yes,Local,3.51,No,0,3.23,193.55,6.30 ,2.03,43625,456
0226158,September,2007,Diploma,Business,Sponsored,,Local,2.91,No,0,3.23,193.55,6.30 ,2.03,43625,456
0227488,September,2006,Diploma,Business,Sponsored,,Local,2.11,No,0,3.32,162.69,5.58 ,3.61,43490,439
0228619,January,2005,Diploma,Computing,Private,,Local,2.48,No,0,3.53,143.53,5.33 ,2.98,34676,346
0229677,January,2013,Foundation,Engineering,Private,,Local,2.76,No,0,3.16,323.28,4.69 ,2.11,38127,481
0230411,January,2021,Foundation,Engineering,Loan,Yes,Local,2.50,No,0,4.05,372.98,5.60 ,2.48,66184,661
0231587,January,2020,Diploma,Engineering,Loan,Yes,Local,3.16,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0232121,January,1999,Diploma,Computing,Loan,Yes,International,2.51,No,0,3.43,79.15,6.14 ,2.74,20655,205
0233956,January,2004,Diploma,Computing,Private,,Local,3.74,No,0,3.54,124.75,6.78 ,1.42,40742,407
0234820,January,2008,Foundation,Computing,Sponsored,,International,3.10,No,0,3.32,230.81,4.83 ,5.44,43261,436
